Training Data,Accuracy
6725,0.6573468173706127
13450,0.6573468173706127
20175,0.6573468173706127
26900,0.6686496133254015
33625,0.669244497323022
40350,0.6573468173706127
47075,0.5080309339678762
53800,0.60261748958953
60525,0.669244497323022
67250,0.6591314693634741
73975,0.6103509815585961
80700,0.6793575252825699
87425,0.5074360499702558
94150,0.5883402736466389
100875,0.6627007733491969
107600,0.4277215942891136
114325,0.6995835812016656
121050,0.5490779298036883
127775,0.6983938132064248
134500,0.5687091017251636
141225,0.702558001189768
147950,0.5431290898274836
154675,0.6591314693634741
161400,0.7150505651397977
168125,0.37775133848899467
174850,0.27483640690065436
181575,0.709101725163593
188300,0.5443188578227246
195025,0.7085068411659726
201750,0.17906008328375966
208475,0.7001784651992862
215200,0.31469363474122547
221925,0.7096966091612136
228650,0.6787626412849495
235375,0.5687091017251636
242100,0.4681737061273052
248825,0.6966091612135633
255550,0.635930993456276
262275,0.7120761451516954
269000,0.6811421772754312
275725,0.7108863771564545
282450,0.6650803093396788
289175,0.5395597858417609
295900,0.27900059488399764
302625,0.43723973825104107
309350,0.5800118976799524
316075,0.45568114217727546
322800,0.710291493158834
329525,0.570493753718025
336250,0.5907198096371208
342975,0.6508030933967877
349700,0.48483045806067815
356425,0.5764425936942297
363150,0.627007733491969
369875,0.5014872099940512
376600,0.6609161213563355
383325,0.6145151695419393
390050,0.49494348602022603
396775,0.6109458655562165
403500,0.6400951814396193
410225,0.5110053539559786
416950,0.644854253420583
423675,0.38905413444378345
430400,0.6698393813206425
437125,0.6960142772159429
443850,0.43367043426531826
450575,0.6751933372992267
457300,0.7120761451516954
464025,0.43902439024390244
470750,0.6787626412849495
477475,0.6157049375371803
484200,0.5841760856632957
490925,0.701368233194527
497650,0.46162998215348006
504375,0.43426531826293874
511100,0.4925639500297442
517825,0.6745984533016062
524550,0.5092207019631172
531275,0.546103509815586
538000,0.6418798334324807
544725,0.6597263533610946
551450,0.7132659131469363
558175,0.5288518738845925
564900,0.5389649018441404
571625,0.6252230814991077
578350,0.43902439024390244
585075,0.611540749553837
591800,0.4455681142177275
598525,0.5365853658536586
605250,0.3093396787626413
611975,0.5104104699583581
618700,0.49672813801308746
625425,0.6335514574657942
632150,0.5901249256395003
638875,0.5812016656751934
645600,0.6032123735871505
652325,0.5258774538964902
659050,0.5312314098750743
665775,0.6032123735871505
672500,0.5574063057703748
