Training Data,Accuracy
6725,0.6740035693039858
13450,0.6805472932778108
20175,0.3206424747174301
26900,0.6900654372397382
33625,0.6811421772754312
40350,0.49851279000594884
47075,0.6906603212373588
53800,0.5175490779298036
60525,0.5823914336704342
67250,0.48720999405116
73975,0.552647233789411
80700,0.32540154669839383
87425,0.6811421772754312
94150,0.6775728732897085
100875,0.7079119571683522
107600,0.32956573468173705
114325,0.40392623438429504
121050,0.6377156454491374
127775,0.6829268292682927
134500,0.5514574657941701
141225,0.6841165972635336
147950,0.710291493158834
154675,0.6686496133254015
161400,0.7096966091612136
168125,0.5478881618084473
174850,0.7055324211778703
181575,0.2694824509220702
188300,0.5502676977989293
195025,0.4634146341463415
201750,0.702558001189768
208475,0.5889351576442594
215200,0.5764425936942297
221925,0.5936942296252231
228650,0.6924449732302201
235375,0.3236168947055324
242100,0.6656751933372992
248825,0.5883402736466389
255550,0.6258179654967282
262275,0.7144556811421773
269000,0.47828673408685307
275725,0.33491969066032123
282450,0.5812016656751934
289175,0.6157049375371803
295900,0.4455681142177275
302625,0.6632956573468174
309350,0.6377156454491374
316075,0.6276026174895896
322800,0.5348007138607972
329525,0.5443188578227246
336250,0.6252230814991077
342975,0.6573468173706127
349700,0.6133254015466983
356425,0.5853658536585366
363150,0.6680547293277811
369875,0.5823914336704342
376600,0.41582391433670435
383325,0.5127900059488399
390050,0.6591314693634741
396775,0.5829863176680548
403500,0.6745984533016062
410225,0.6597263533610946
416950,0.7126710291493159
423675,0.7168352171326592
430400,0.5478881618084473
437125,0.47352766210588937
443850,0.4776918500892326
450575,0.5098155859607376
457300,0.6561570493753718
464025,0.6686496133254015
470750,0.6912552052349792
477475,0.5514574657941701
484200,0.6133254015466983
490925,0.3206424747174301
497650,0.5252825698988697
504375,0.6085663295657346
511100,0.5472932778108269
517825,0.5032718619869125
524550,0.6222486615110053
531275,0.6668649613325401
538000,0.6085663295657346
544725,0.5978584176085663
551450,0.49315883402736466
558175,0.49315883402736466
564900,0.6109458655562165
571625,0.5764425936942297
578350,0.5395597858417609
585075,0.6680547293277811
591800,0.42534205829863175
598525,0.5859607376561571
605250,0.6055919095776323
611975,0.5687091017251636
618700,0.652587745389649
625425,0.37477691850089234
632150,0.5425342058298632
638875,0.6508030933967877
645600,0.5788221296847115
652325,0.7126710291493159
659050,0.620464009518144
665775,0.6246281975014872
672500,0.6781677572873289
