#Trees,Accuracy
1  ,  0.8548483045806068
2  ,  0.8441403926234384
3  ,  0.8602022605591909
4  ,  0.8578227245687091
5  ,  0.8661511005353956
6  ,  0.8637715645449138
7  ,  0.8762641284949435
8  ,  0.8750743604997026
9  ,  0.8816180844735276
10  ,  0.8762641284949435
11  ,  0.8774538964901845
12  ,  0.8804283164782868
13  ,  0.8673408685306365
14  ,  0.8661511005353956
15  ,  0.8655562165377751
16  ,  0.883402736466389
17  ,  0.8655562165377751
18  ,  0.8732897085068412
19  ,  0.8607971445568114
20  ,  0.8649613325401546
21  ,  0.8703152885187388
22  ,  0.8536585365853658
23  ,  0.8655562165377751
24  ,  0.8625817965496728
25  ,  0.8643664485425342
26  ,  0.8560380725758477
27  ,  0.8619869125520524
28  ,  0.8703152885187388
29  ,  0.8691255205234979
30  ,  0.8518738845925045
31  ,  0.8661511005353956
32  ,  0.8619869125520524
33  ,  0.8637715645449138
34  ,  0.8596073765615705
35  ,  0.8732897085068412
36  ,  0.8578227245687091
37  ,  0.8518738845925045
38  ,  0.8679357525282569
39  ,  0.8590124925639501
40  ,  0.875669244497323
41  ,  0.8649613325401546
42  ,  0.8607971445568114
43  ,  0.8596073765615705
44  ,  0.8625817965496728
45  ,  0.8465199286139203
46  ,  0.8625817965496728
47  ,  0.8471148126115408
48  ,  0.8554431885782272
49  ,  0.8619869125520524
50  ,  0.8720999405116002
51  ,  0.8500892325996431
52  ,  0.8417608566329565
53  ,  0.8506841165972635
54  ,  0.8596073765615705
55  ,  0.8715050565139798
56  ,  0.8607971445568114
57  ,  0.8518738845925045
58  ,  0.8560380725758477
59  ,  0.8637715645449138
60  ,  0.8619869125520524
61  ,  0.8524687685901249
62  ,  0.8643664485425342
63  ,  0.8560380725758477
64  ,  0.8483045806067817
65  ,  0.8459250446162998
66  ,  0.8554431885782272
67  ,  0.8292682926829268
68  ,  0.8399762046400951
69  ,  0.8488994646044021
70  ,  0.8518738845925045
71  ,  0.8411659726353361
72  ,  0.8554431885782272
73  ,  0.8596073765615705
74  ,  0.842355740630577
75  ,  0.8572278405710886
76  ,  0.8274836406900654
77  ,  0.8429506246281975
78  ,  0.843545508625818
79  ,  0.8387864366448543
80  ,  0.8596073765615705
81  ,  0.8471148126115408
82  ,  0.8417608566329565
83  ,  0.8471148126115408
84  ,  0.8387864366448543
85  ,  0.8370017846519928
86  ,  0.8340273646638905
87  ,  0.8607971445568114
88  ,  0.8143961927424153
89  ,  0.8292682926829268
90  ,  0.851279000594884
91  ,  0.8197501487209994
92  ,  0.8572278405710886
93  ,  0.8488994646044021
94  ,  0.8381915526472338
95  ,  0.8375966686496134
96  ,  0.8328375966686496
97  ,  0.8328375966686496
98  ,  0.826888756692445
99  ,  0.8352171326591314
100  ,  0.828078524687686
