class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,class
2,188.2732476,21.52028672,21.39199448,21.00705338,20.73714828,20.68196869,20.4881134,21.6190815,0.3849411,0.6548462,0.71002579,0.90388108,-0.22708702,0.2699051,0.32508469,0.51893998,-0.61202812,0.05517959,0.24903488,-0.88193322,0.19385529,-0.93711281,-1.1309681
2,189.9155792,21.88734281,21.86664581,21.0237236,20.88637924,20.87759209,20.80698967,22.99036407,0.84292221,0.98026657,0.98905372,1.05965614,-1.12371826,0.13734436,0.14613151,0.21673393,-1.96664047,0.00878715,0.07938957,-2.10398483,0.07060242,-2.11277198,-2.1833744
1,205.801015,25.61679628,21.6544342,21.13687897,20.28574753,19.4797554,19.18696785,22.59464455,0.51755523,1.36868667,2.1746788,2.46746635,-0.94021035,0.85113144,1.65712357,1.94991112,-1.45776558,0.80599213,1.09877968,-2.30889702,0.29278755,-3.11488915,-3.4076767
1,205.6011935,25.52504696,22.6099472,21.94147491,20.58793068,19.77951813,19.11105728,23.70208549,0.66847229,2.02201652,2.83042907,3.49888992,-1.09213829,1.35354423,2.16195678,2.83041763,-1.76061058,0.80841255,1.4768734,-3.11415481,0.66846085,-3.92256736,-4.59102821
2,190.8991086,23.58644986,21.94479561,21.36384964,21.32513237,21.17931366,20.77662277,22.76753616,0.58094597,0.61966324,0.76548195,1.16817284,-0.82274055,0.03871727,0.18453598,0.58722687,-1.40368652,0.14581871,0.5485096,-1.44240379,0.40269089,-1.5882225,-1.99091339
2,190.5116431,23.00173848,22.26841927,21.602808,21.51505852,21.66864395,21.22886848,22.42499352,0.66561127,0.75336075,0.59977532,1.03955079,-0.15657425,0.08774948,-0.06583595,0.37393952,-0.82218552,-0.15358543,0.28619004,-0.909935,0.43977547,-0.75634957,-1.19612504
1,189.9745412,23.37637874,22.33777046,21.44517326,21.17188835,20.64211082,20.61196518,22.25494766,0.8925972,1.16588211,1.69565964,1.72580528,0.0828228,0.27328491,0.80306244,0.83320808,-0.8097744,0.52977753,0.55992317,-1.08305931,0.03014564,-1.61283684,-1.64298248
1,190.6453776,24.88528655,23.32956505,20.85376358,19.34380913,18.50756454,17.98369217,22.49437332,2.47580147,3.98575592,4.82200051,5.34587288,0.83519173,1.50995445,2.34619904,2.87007141,-1.64060974,0.83624459,1.36011696,-3.15056419,0.52387237,-3.98680878,-4.51068115
1,190.564199,23.99229968,22.50041199,21.72662735,20.41009903,19.57499313,19.20329857,23.32300758,0.77378464,2.09031296,2.92541886,3.29711342,-0.82259559,1.31652832,2.15163422,2.52332878,-1.59638023,0.8351059,1.20680046,-2.91290855,0.37169456,-3.74801445,-4.11970901
2,190.7576326,24.03743863,20.99490929,20.42779541,20.38694,20.42942047,20.12360954,23.70578957,0.56711388,0.60796929,0.56548882,0.87129975,-2.71088028,0.04085541,-0.00162506,0.30418587,-3.27799416,-0.04248047,0.26333046,-3.31884957,0.30581093,-3.2763691,-3.58218003
1,205.5554033,25.84862882,23.54661751,22.13310814,20.30037689,19.30504608,18.77706528,23.49882889,1.41350937,3.24624062,4.24157143,4.76955223,0.04778862,1.83273125,2.82806206,3.35604286,-1.36572075,0.99533081,1.52331161,-3.198452,0.5279808,-4.19378281,-4.72176361
2,191.8651975,24.01464829,21.22909737,20.66766167,20.5122261,20.39478493,20.1225605,22.84890556,0.5614357,0.71687127,0.83431244,1.10653687,-1.61980819,0.15543557,0.27287674,0.54510117,-2.18124389,0.11744117,0.3896656,-2.33667946,0.27222443,-2.45412063,-2.72634506
1,207.2876367,26.24304181,23.28166389,22.15378761,20.36686134,19.47320175,18.92371941,24.700037,1.12787628,2.91480255,3.80846214,4.35794448,-1.41837311,1.78692627,2.68058586,3.2300682,-2.54624939,0.89365959,1.44314193,-4.33317566,0.54948234,-5.22683525,-5.77631759
1,205.7899469,26.65948194,22.09477043,21.30364799,20.01725388,19.29099655,18.82614326,22.7296772,0.79112244,2.07751655,2.80377388,3.26862717,-0.63490677,1.28639411,2.01265144,2.47750473,-1.42602921,0.72625733,1.19111062,-2.71242332,0.46485329,-3.43868065,-3.90353394
1,182.3170245,21.81907104,22.7936039,22.15807343,20.38734055,19.50819397,19.14582443,22.27692032,0.63553047,2.40626335,3.28540993,3.64777947,0.51668358,1.77073288,2.64987946,3.012249,-0.11884689,0.87914658,1.24151612,-1.88957977,0.36236954,-2.76872635,-3.13109589
1,182.948219,23.7171599,23.95874405,21.98505783,20.99293709,20.00542831,19.46280861,23.01455688,1.97368622,2.96580696,3.95331574,4.49593544,0.94418717,0.99212074,1.97962952,2.52224922,-1.02949905,0.98750878,1.53012848,-2.02161979,0.5426197,-3.00912857,-3.55174827
1,182.9651976,23.86532097,23.30308914,21.38781357,20.07840347,19.29261017,18.71446228,22.70571518,1.91527557,3.22468567,4.01047897,4.58862686,0.59737396,1.3094101,2.0952034,2.67335129,-1.31790161,0.7857933,1.36394119,-2.62731171,0.57814789,-3.41310501,-3.9912529
1,192.389765,24.9938256,25.9816246,22.20757484,20.33406067,19.28466988,18.49193001,22.41749001,3.77404976,5.64756393,6.69695472,7.48969459,3.56413459,1.87351417,2.92290496,3.71564483,-0.20991517,1.04939079,1.84213066,-2.08342934,0.79273987,-3.13282013,-3.92556
1,192.1218357,25.13235862,23.6460228,21.38752365,20.11841965,19.29551506,18.83228683,23.22193909,2.25849915,3.52760315,4.35050774,4.81373597,0.42408371,1.269104,2.09200859,2.55523682,-1.83441544,0.82290459,1.28613282,-3.10351944,0.46322823,-3.92642403,-4.38965226
1,190.9203809,26.27460802,22.42142868,21.29880333,19.70843506,18.83565903,18.38491631,22.47332001,1.12262535,2.71299362,3.58576965,4.03651237,-0.05189133,1.59036827,2.4631443,2.91388702,-1.17451668,0.87277603,1.32351875,-2.76488495,0.45074272,-3.63766098,-4.0884037
1,183.3911407,23.70989412,22.1177845,21.73248482,20.42401695,19.62645149,19.02914429,22.42422676,0.38529968,1.69376755,2.49133301,3.08864021,-0.30644226,1.30846787,2.10603333,2.70334053,-0.69174194,0.79756546,1.39487266,-2.00020981,0.5973072,-2.79777527,-3.39508247
1,184.140248,24.17603921,22.23357582,21.60754204,20.69542122,19.64226913,19.22321892,22.88902283,0.62603378,1.5381546,2.59130669,3.0103569,-0.65544701,0.91212082,1.96527291,2.38432312,-1.28148079,1.05315209,1.4722023,-2.19360161,0.41905021,-3.2467537,-3.66580391
1,193.5760556,26.29285028,23.88491249,21.94410324,20.59728813,19.83514404,19.27381134,23.58921623,1.94080925,3.28762436,4.04976845,4.61110115,0.29569626,1.34681511,2.1089592,2.6702919,-1.64511299,0.76214409,1.32347679,-2.9919281,0.5613327,-3.75407219,-4.31540489
1,193.4180456,26.04804405,24.36701965,22.31827927,20.3673954,19.46585464,19.07360268,24.18310356,2.04874038,3.99962425,4.90116501,5.29341697,0.18391609,1.95088387,2.85242463,3.24467659,-1.86482429,0.90154076,1.29379272,-3.81570816,0.39225196,-4.71724892,-5.10950088
1,193.5732906,26.85777959,24.50712013,22.72076797,20.85918999,19.97777748,19.60802269,23.73775482,1.78635216,3.64793014,4.52934265,4.89909744,0.76936531,1.86157798,2.74299049,3.11274528,-1.01698685,0.88141251,1.2511673,-2.87856483,0.36975479,-3.75997734,-4.12973213
2,193.3985545,21.91740708,21.25260735,20.92374039,20.57766342,19.88001442,19.41417503,21.3261528,0.32886696,0.67494393,1.37259293,1.83843232,-0.07354545,0.34607697,1.04372597,1.50956536,-0.40241241,0.697649,1.16348839,-0.74848938,0.46583939,-1.44613838,-1.91197777
2,192.2362577,21.1701989,21.76236916,21.33141136,21.18984222,21.06755638,20.52435112,21.44498062,0.4309578,0.57252694,0.69481278,1.23801804,0.31738854,0.14156914,0.26385498,0.80706024,-0.11356926,0.12228584,0.6654911,-0.2551384,0.54320526,-0.37742424,-0.9206295
2,190.866838,22.2986223,21.15019608,20.55461121,20.31774712,20.27996063,20.27229309,21.45688438,0.59558487,0.83244896,0.87023545,0.87790299,-0.3066883,0.23686409,0.27465058,0.28231812,-0.90227317,0.03778649,0.04545403,-1.13913726,0.00766754,-1.17692375,-1.18459129
1,191.1488956,21.92630721,21.10246086,20.2413578,19.24750328,18.49807549,17.91354942,22.26609802,0.86110306,1.85495758,2.60438537,3.18891144,-1.16363716,0.99385452,1.74328231,2.32780838,-2.02474022,0.74942779,1.33395386,-3.01859474,0.58452607,-3.76802253,-4.3525486
0,193.7067035,22.32496184,22.6545105,21.74889946,21.86485672,21.97361946,21.62763405,22.28251076,0.90561104,0.78965378,0.68089104,1.02687645,0.37199974,-0.11595726,-0.22472,0.12126541,-0.5336113,-0.10876274,0.23722267,-0.41765404,0.34598541,-0.3088913,-0.65487671
1,184.308213,24.95078994,25.13264465,22.08117485,20.80607605,19.54040718,19.06815338,22.49506569,3.0514698,4.3265686,5.59223747,6.06449127,2.63757896,1.2750988,2.54076767,3.01302147,-0.41389084,1.26566887,1.73792267,-1.68898964,0.4722538,-2.95465851,-3.42691231
1,183.7601016,24.93659947,23.34232521,21.88364983,20.3149147,19.43465805,18.94857979,22.48866272,1.45867538,3.02741051,3.90766716,4.39374542,0.85366249,1.56873513,2.44899178,2.93507004,-0.60501289,0.88025665,1.36633491,-2.17374802,0.48607826,-3.05400467,-3.54008293
1,205.5273124,28.8510512,22.24786758,21.60611725,19.88714218,19.11332321,18.62400246,24.21873474,0.64175033,2.3607254,3.13454437,3.62386512,-1.97086716,1.71897507,2.49279404,2.98211479,-2.61261749,0.77381897,1.26313972,-4.33159256,0.48932075,-5.10541153,-5.59473228
1,194.4949628,23.30523829,21.13474083,20.20125198,18.68528938,17.90703392,17.46959496,22.72264862,0.93348885,2.44945145,3.22770691,3.66514587,-1.58790779,1.5159626,2.29421806,2.73165702,-2.52139664,0.77825546,1.21569442,-4.03735924,0.43743896,-4.8156147,-5.25305366
1,194.5859632,23.2197615,22.79504585,22.62176132,20.95449829,19.89131546,19.38333893,22.57854462,0.17328453,1.84054756,2.90373039,3.41170692,0.21650123,1.66726303,2.73044586,3.23842239,0.0432167,1.06318283,1.57115936,-1.62404633,0.50797653,-2.68722916,-3.19520569
2,194.0640702,23.20526164,20.96214676,20.47496223,20.21625328,20.38976479,20.13889122,22.37980843,0.48718453,0.74589348,0.57238197,0.82325554,-1.41766167,0.25870895,0.08519744,0.33607101,-1.9048462,-0.17351151,0.07736206,-2.16355515,0.25087357,-1.99004364,-2.24091721
2,193.7315861,23.01430182,20.36798286,20.18340302,20.21743774,19.82011986,19.73250008,22.78539276,0.18457984,0.15054512,0.547863,0.63548278,-2.4174099,-0.03403472,0.36328316,0.45090294,-2.60198974,0.39731788,0.48493766,-2.56795502,0.08761978,-2.9652729,-3.05289268
2,193.8366756,22.86000179,22.32661438,21.61004448,21.20201683,20.71844673,20.30835152,22.37149048,0.7165699,1.12459755,1.60816765,2.01826286,-0.0448761,0.40802765,0.89159775,1.30169296,-0.761446,0.4835701,0.89366531,-1.16947365,0.41009521,-1.65304375,-2.06313896
2,193.1542808,23.23939172,20.74423409,20.15406227,19.8579216,19.70327377,19.35914421,21.48508263,0.59017182,0.88631249,1.04096032,1.38508988,-0.74084854,0.29614067,0.4507885,0.79491806,-1.33102036,0.15464783,0.49877739,-1.62716103,0.34412956,-1.78180886,-2.12593842
1,193.109857,24.72763942,21.77721977,20.57527351,18.90811539,18.28647614,17.90822983,22.89178467,1.20194626,2.86910438,3.49074363,3.86898994,-1.1145649,1.66715812,2.28879737,2.66704368,-2.31651116,0.62163925,0.99988556,-3.98366928,0.37824631,-4.60530853,-4.98355484
1,193.4802404,24.88309345,21.99253273,21.15368843,20.55292892,19.72373009,19.28167725,22.80261612,0.8388443,1.43960381,2.26880264,2.71085548,-0.81008339,0.60075951,1.42995834,1.87201118,-1.64892769,0.82919883,1.27125167,-2.2496872,0.44205284,-3.07888603,-3.52093887
1,193.4175295,24.5818454,21.27873802,19.3688736,18.05101585,17.441185,17.01275253,23.1650219,1.90986442,3.22772217,3.83755302,4.26598549,-1.88628388,1.31785775,1.9276886,2.35612107,-3.7961483,0.60983085,1.03826332,-5.11400605,0.42843247,-5.7238369,-6.15226937
1,194.5625486,24.56066433,21.61064911,20.24959755,18.69652367,18.06919098,17.68708992,22.44804192,1.36105156,2.91412544,3.54145813,3.92355919,-0.83739281,1.55307388,2.18040657,2.56250763,-2.19844437,0.62733269,1.00943375,-3.75151825,0.38210106,-4.37885094,-4.760952
2,195.4546678,21.7827945,21.46546745,20.85684967,20.71562386,20.83122063,20.14450073,20.82122421,0.60861778,0.74984359,0.63424682,1.32096672,0.64424324,0.14122581,0.02562904,0.71234894,0.03562546,-0.11559677,0.57112313,-0.10560035,0.6867199,0.00999642,-0.67672348
1,194.8743227,22.14002119,22.05233383,21.3470211,20.63088226,19.7793808,19.41783333,22.0828495,0.70531273,1.42145157,2.27295303,2.6345005,-0.03051567,0.71613884,1.5676403,1.92918777,-0.7358284,0.85150146,1.21304893,-1.45196724,0.36154747,-2.3034687,-2.66501617
2,194.0640702,23.20526164,20.96214676,20.47496223,20.21625328,20.38976479,20.13889122,22.37980843,0.48718453,0.74589348,0.57238197,0.82325554,-1.41766167,0.25870895,0.08519744,0.33607101,-1.9048462,-0.17351151,0.07736206,-2.16355515,0.25087357,-1.99004364,-2.24091721
1,194.5859632,23.2197615,22.79504585,22.62176132,20.95449829,19.89131546,19.38333893,22.57854462,0.17328453,1.84054756,2.90373039,3.41170692,0.21650123,1.66726303,2.73044586,3.23842239,0.0432167,1.06318283,1.57115936,-1.62404633,0.50797653,-2.68722916,-3.19520569
1,196.2525093,22.27278213,26.66895103,21.04867172,19.50342941,18.73238373,18.46537399,22.46163368,5.62027931,7.16552162,7.9365673,8.20357704,4.20731735,1.54524231,2.31628799,2.58329773,-1.41296196,0.77104568,1.03805542,-2.95820427,0.26700974,-3.72924995,-3.99625969
1,195.9419664,23.51336526,22.22346115,20.9750824,19.18122101,18.53489876,18.11048126,22.27285957,1.24837875,3.04224014,3.68856239,4.11297989,-0.04939842,1.79386139,2.44018364,2.86460114,-1.29777717,0.64632225,1.07073975,-3.09163856,0.4244175,-3.73796081,-4.16237831
1,207.6104922,20.98169225,22.20429802,20.41950035,18.76407433,18.14198685,17.75299263,22.15082169,1.78479767,3.44022369,4.06231117,4.45130539,0.05347633,1.65542602,2.2775135,2.66650772,-1.73132134,0.62208748,1.0110817,-3.38674736,0.38899422,-4.00883484,-4.39782906
1,207.1599974,20.64147607,22.28539467,22.38464737,20.74402046,19.4703598,19.10609245,23.92966461,-0.0992527,1.54137421,2.81503487,3.17930222,-1.64426994,1.64062691,2.91428757,3.27855492,-1.54501724,1.27366066,1.63792801,-3.18564415,0.36426735,-4.45930481,-4.82357216
2,182.9978376,24.79136048,21.27656364,20.45993614,20.24985886,20.25826454,19.78572655,21.98822403,0.8166275,1.02670478,1.0182991,1.49083709,-0.71166039,0.21007728,0.2016716,0.67420959,-1.52828789,-0.00840568,0.46413231,-1.73836517,0.47253799,-1.72995949,-2.20249748
1,194.5625486,24.56066433,21.61064911,20.24959755,18.69652367,18.06919098,17.68708992,22.44804192,1.36105156,2.91412544,3.54145813,3.92355919,-0.83739281,1.55307388,2.18040657,2.56250763,-2.19844437,0.62733269,1.00943375,-3.75151825,0.38210106,-4.37885094,-4.760952
2,207.4628827,22.55485218,22.46510506,21.5153141,21.37504578,21.38913727,21.17998695,22.57443047,0.94979096,1.09005928,1.07596779,1.28511811,-0.10932541,0.14026832,0.12617683,0.33532715,-1.05911637,-0.01409149,0.19505883,-1.19938469,0.20915032,-1.1852932,-1.39444352
