Training Data,Accuracy
6725,0.719214753123141
13450,0.8274836406900654
20175,0.6567519333729923
26900,0.6960142772159429
33625,0.34800713860797144
40350,0.7614515169541939
47075,0.280785246876859
53800,0.620464009518144
60525,0.2427126710291493
67250,0.7888161808447353
73975,0.6573468173706127
80700,0.7453896490184414
87425,0.8328375966686496
94150,0.29387269482450923
100875,0.644854253420583
107600,0.24925639500297442
114325,0.24033313503866746
121050,0.1041046995835812
127775,0.7459845330160618
134500,0.5913146936347412
141225,0.2427126710291493
147950,0.6573468173706127
154675,0.23854848304580606
161400,0.7727543129089828
168125,0.8030933967876264
174850,0.6567519333729923
181575,0.6757882212968471
188300,0.752528256989887
195025,0.8251041046995836
201750,0.627007733491969
208475,0.2433075550267698
215200,0.6573468173706127
221925,0.7198096371207614
228650,0.6573468173706127
235375,0.7917906008328376
242100,0.4408090422367638
248825,0.6710291493158834
255550,0.1207614515169542
262275,0.2409280190362879
269000,0.5389649018441404
275725,0.8019036287923855
282450,0.7096966091612136
289175,0.1356335514574658
295900,0.09994051160023795
302625,0.2427126710291493
309350,0.4997025580011898
316075,0.7138607971445569
322800,0.2433075550267698
329525,0.5157644259369423
336250,0.8447352766210589
342975,0.09934562760261749
349700,0.6585365853658537
356425,0.6573468173706127
363150,0.7650208209399167
369875,0.6728138013087448
376600,0.24390243902439024
383325,0.6609161213563355
390050,0.7221891731112433
396775,0.6472337894110648
403500,0.8096371207614516
410225,0.8441403926234384
416950,0.8405710886377157
423675,0.10172516359309934
430400,0.3402736466389054
437125,0.6573468173706127
443850,0.09994051160023795
450575,0.10053539559785842
457300,0.8381915526472338
464025,0.6591314693634741
470750,0.10113027959547888
477475,0.6585365853658537
484200,0.7079119571683522
490925,0.8048780487804879
497650,0.8227245687091017
504375,0.2480666270077335
511100,0.7679952409280191
517825,0.10053539559785842
524550,0.7257584770969661
531275,0.7108863771564545
538000,0.6745984533016062
544725,0.6644854253420583
551450,0.1023200475907198
558175,0.74360499702558
564900,0.10113027959547888
571625,0.719214753123141
578350,0.1356335514574658
585075,0.842355740630577
591800,0.6841165972635336
598525,0.7382510410469958
605250,0.7180249851279
611975,0.6888756692444973
618700,0.2433075550267698
625425,0.6573468173706127
632150,0.6823319452706722
638875,0.6656751933372992
645600,0.6567519333729923
652325,0.27900059488399764
659050,0.801308744794765
665775,0.6573468173706127
672500,0.7900059488399762
