Training Data,Accuracy
6725,0.6573468173706127
13450,0.6847114812611541
20175,0.7174301011302796
26900,0.6704342653182629
33625,0.652587745389649
40350,0.5020820939916716
47075,0.6079714455681142
53800,0.6722189173111244
60525,0.7001784651992862
67250,0.8364069006543724
73975,0.49791790600832836
80700,0.6977989292088043
87425,0.8352171326591314
94150,0.8381915526472338
100875,0.8084473527662106
107600,0.7852468768590125
114325,0.8286734086853064
121050,0.6930398572278406
127775,0.7382510410469958
134500,0.7804878048780488
141225,0.8149910767400357
147950,0.842355740630577
154675,0.8459250446162998
161400,0.800118976799524
168125,0.843545508625818
174850,0.7662105889351577
181575,0.842355740630577
188300,0.810232004759072
195025,0.6983938132064248
201750,0.8364069006543724
208475,0.825698988697204
215200,0.8203450327186199
221925,0.7382510410469958
228650,0.7816775728732898
235375,0.8465199286139203
242100,0.7317073170731707
248825,0.7239738251041047
255550,0.8251041046995836
262275,0.8441403926234384
269000,0.8381915526472338
275725,0.8132064247471743
282450,0.7864366448542535
289175,0.7858417608566329
295900,0.7751338488994646
302625,0.8417608566329565
309350,0.7864366448542535
316075,0.8381915526472338
322800,0.8197501487209994
329525,0.7727543129089828
336250,0.8459250446162998
342975,0.8447352766210589
349700,0.8143961927424153
356425,0.8441403926234384
363150,0.8215348007138608
369875,0.8340273646638905
376600,0.8453301606186794
383325,0.7382510410469958
390050,0.843545508625818
396775,0.8471148126115408
403500,0.792385484830458
410225,0.8084473527662106
416950,0.8328375966686496
423675,0.8334324806662701
430400,0.8465199286139203
437125,0.8173706127305176
443850,0.8477096966091612
450575,0.6674598453301607
457300,0.8370017846519928
464025,0.800118976799524
470750,0.7989292088042832
477475,0.8453301606186794
484200,0.7745389649018442
490925,0.7822724568709102
497650,0.8429506246281975
504375,0.834622248661511
511100,0.8310529446757883
517825,0.834622248661511
524550,0.8393813206424747
531275,0.8429506246281975
538000,0.851279000594884
544725,0.8364069006543724
551450,0.8352171326591314
558175,0.74360499702558
564900,0.825698988697204
571625,0.8417608566329565
578350,0.8304580606781677
585075,0.8477096966091612
591800,0.8471148126115408
598525,0.8471148126115408
605250,0.7917906008328376
611975,0.6656751933372992
618700,0.8370017846519928
625425,0.8262938726948245
632150,0.8441403926234384
638875,0.6585365853658537
645600,0.8488994646044021
652325,0.7572873289708507
659050,0.8459250446162998
665775,0.6805472932778108
672500,0.8405710886377157
